code_client,code_article,avg_qty,median_qty,std_qty,min_qty,max_qty,total_qty,frequency,last_qty,recency_days,avg_delay_days,recency_relative,trend,company_encoded,cat_quarterly_coef,has_gps,latitude,longitude,categorie,designation,is_bulk_product,nb_clients,days_since_first_order,is_new_product,client_total_products,client_total_invoices,client_avg_basket_size
CLT001977,286838732,1.0,1.0,0.0,1,1,1,1,1,598,30.0,19.933333333333334,0.0,0,0.8630837196073748,True,35.8198925,10.5924013,GSM NOKIA,NOKIA 150 DS NENA2 BLUE,False,278,893,False,1,1,1.0
CLT007994,25078RA3EA BLUE4/128,1.0,1.0,0.0,1,1,1,1,1,269,30.0,8.966666666666667,0.0,0,1.0143294985109848,True,32.9280264,10.4485773,GSM XIAOMI,REDMI 15C MOONLIGHT BLUE 4/128GB,False,263,273,False,5,1,5.0
CLT007994,25078RA3EABLACK4/128,1.0,1.0,0.0,1,1,1,1,1,269,30.0,8.966666666666667,0.0,0,1.0143294985109848,True,32.9280264,10.4485773,GSM XIAOMI,REDMI 15C MIDNIGHT BLACK 4/128GB,False,277,273,False,5,1,5.0
CLT007994,25078RA3EABLACK6/128,1.0,1.0,0.0,1,1,1,1,1,269,30.0,8.966666666666667,0.0,0,1.0143294985109848,True,32.9280264,10.4485773,GSM XIAOMI,REDMI 15C MIDNIGHT BLACK 6/128GB,False,291,273,False,5,1,5.0
CLT007994,25078RA3EABLACK8/256,1.0,1.0,0.0,1,1,1,1,1,269,30.0,8.966666666666667,0.0,0,1.0143294985109848,True,32.9280264,10.4485773,GSM XIAOMI,REDMI 15C MIDNIGHT BLACK 8/256GB,False,288,273,False,5,1,5.0
CLT007994,25078RA3EAGREEN6/128,1.0,1.0,0.0,1,1,1,1,1,269,30.0,8.966666666666667,0.0,0,1.0143294985109848,True,32.9280264,10.4485773,GSM XIAOMI,REDMI 15C MINT GREEN 6/128GB,False,257,273,False,5,1,5.0
CLT009160,1GF019BPA2A02,20.0,20.0,0.0,20,20,20,1,20,889,30.0,29.633333333333333,0.0,0,0.8630837196073748,False,,,GSM NOKIA,NOKIA 106 DS NENA1 CHARCOAL,False,233,896,False,32,17,2.823529411764706
CLT009160,2409BRN2CABLACK4/128,3.0,3.0,0.0,3,3,3,1,3,611,30.0,20.366666666666667,0.0,0,1.0143294985109848,False,,,GSM XIAOMI,REDMI 14C MIDNIGHT BLACK 4/128GB,False,337,626,False,32,17,2.823529411764706
CLT009160,2409BRN2CABLACK6/128,1.5,1.5,0.7071067811865476,1,2,3,2,1,585,26.0,22.5,-0.499999750000125,0,1.0143294985109848,False,,,GSM XIAOMI,REDMI 14C MIDNIGHT BLACK 6/128GB,True,321,626,False,32,17,2.823529411764706
CLT009160,2409BRN2CABLACK8/256,1.0,1.0,0.0,1,1,1,1,1,611,30.0,20.366666666666667,0.0,0,1.0143294985109848,False,,,GSM XIAOMI,REDMI 14C MIDNIGHT BLACK 8/256GB,False,324,619,False,32,17,2.823529411764706
